analysis,exposure,model,term,n,events,hr,ci_low,ci_high,p_value
stepwise,lonely,M1,lonely,14205,1295,1.1912017,1.0642366,1.3333139,.002345117
stepwise,lonely,M2,lonely,14205,1295,1.1985559,1.0703849,1.3420745,.0016970242
stepwise,lonely,M3,lonely,14205,1295,1.2437934,1.1102076,1.3934528,.00016759458
stepwise,lonely,M4,lonely,14205,1295,1.2041872,1.0742322,1.3498632,.0014280233
stepwise,isolated,M1,isolated,14205,1295,1.027204,.87330091,1.2082297,.74586219
stepwise,isolated,M2,isolated,14205,1295,1.024709,.86864799,1.2088079,.7721653
stepwise,isolated,M3,isolated,14205,1295,1.0757183,.90982056,1.2718661,.39306167
stepwise,isolated,M4,isolated,14205,1295,1.1147823,.94443512,1.315855,.19904563
joint,lonely+isolated,M4,lonely,14205,1295,1.1959351,1.0657479,1.3420256,.0023435045
joint,lonely+isolated,M4,isolated,14205,1295,1.0786051,.91265488,1.2747304,.37469196
score,si_score,M4,si_score,14205,1295,1.0086707,.93646002,1.0864495,.8198061
category,si_cat,M4,1.si_cat,14205,1295,.98563027,.87777883,1.1067333,.80661559
category,si_cat,M4,2.si_cat,14205,1295,1.1055959,.92464584,1.3219575,.27097103
sex=0,lonely,M4,lonely,7381,768,1.2870787,1.1152612,1.4853666,.00055614091
sex=0,isolated,M4,isolated,7381,768,1.1506717,.93619931,1.4142772,.18235496
sex=1,lonely,M4,lonely,6824,527,1.0745457,.88422745,1.3058276,.46975344
sex=1,isolated,M4,isolated,6824,527,1.0502797,.78752404,1.4007034,.73842001
robustness,any_social_risk,M4,any_social_risk,14205,1295,1.1655321,1.0425779,1.3029866,.0070805321
robustness,both_social_risk,M4,both_social_risk,14205,1295,1.3081104,1.0640216,1.6081935,.010807039
weibull,lonely,M4,lonely,14205,1295,1.2096106,1.0749376,1.361156,.0015783914
weibull,isolated,M4,isolated,14205,1295,1.115057,.93961895,1.3232514,.21243712
